grow_area,min_1d_prob,min_2d_prob,min_3d_prob,max_1d_prob,max_2d_prob,max_3d_prob
A01,0,0,0,0,0,0
A02,0,0,0,0,0,0
A03,0,0,0,0,0,0
B02,0,0,0,0,0,0
B03,0,0,0,0,0,0
B04,0,0,0,0,0,0
B05,0,0,0,0,0,0
B06,0,0,0,0,0,0
B07,0,0,0,0,0,0
B08,0,0,0,1,0,0
B09,0,0,0,1,0,0
C01,0,0,0,0,0,0
C02,0,0,0,0,0,0
C03,0,0,0,0,0,0
C04,0,0,0,0,0,0
D01,0,0,0,0,0,0
D02,0,0,0,0,0,0
D03,0,0,0,0,0,0
D04,0,0,0,0,0,0
E01,0,0,0,0,0,0
E02,0,0,0,0,0,0
E03,0,0,0,0,0,0
E04,0,0,0,0,0,0
E05,0,0,0,0,0,0
E06,0,0,0,0,0,0
E07,0,0,0,0,0,0
E08,0,0,0,0,0,0
E09,0,0,0,0,0,0
F02,0,0,0,0,0,0
F03,0,0,0,0,0,0
F04,0,0,0,0,0,0
F05,0,0,0,0,0,0
F06,0,0,0,0,0,0
F07,0,0,0,0,0,0
G01,0,0,0,0,0,0
G02,0,0,0,0,0,0
G03,0,0,0,0,0,0
G04,0,0,0,0,0,0
G05,0,0,0,0,0,0
G06,0,0,0,0,0,0
G07,0,0,0,0,0,0
G08,0,0,0,0,0,0
H01,0,0,0,0,0,0
H02,0,0,0,0,0,0
H03,0,0,0,0,0,0
H04,0,0,0,0,0,0
H05,0,0,0,0,0,0
H06,0,0,0,0,0,0
B01,NA,NA,NA,NA,NA,NA
B10,NA,NA,NA,NA,NA,NA
F01,NA,NA,NA,NA,NA,NA
F08,NA,NA,NA,NA,NA,NA
F09,NA,NA,NA,NA,NA,NA
G09,NA,NA,NA,NA,NA,NA
G10,NA,NA,NA,NA,NA,NA
G11,NA,NA,NA,NA,NA,NA
G12,NA,NA,NA,NA,NA,NA
I01,NA,NA,NA,NA,NA,NA
I02,NA,NA,NA,NA,NA,NA
I03,NA,NA,NA,NA,NA,NA
I04,NA,NA,NA,NA,NA,NA
I05,NA,NA,NA,NA,NA,NA
I06,NA,NA,NA,NA,NA,NA
I07,NA,NA,NA,NA,NA,NA
I08,NA,NA,NA,NA,NA,NA
I09,NA,NA,NA,NA,NA,NA
I10,NA,NA,NA,NA,NA,NA
I11,NA,NA,NA,NA,NA,NA
I12,NA,NA,NA,NA,NA,NA
I13,NA,NA,NA,NA,NA,NA
I14,NA,NA,NA,NA,NA,NA
I15,NA,NA,NA,NA,NA,NA
I16,NA,NA,NA,NA,NA,NA
